Bus Name,Bus Type,From,To,Price,Starting Point,Ending Point,Seat Available,Start Time,Reach Time,Total Travel Time,Bus Rating,Links
BLUE HILL TRAVELS INDIA LIMITED,NON A/C Seater Semi Sleeper (2+1),Tezpur,Guwahati,450,Dolabari Centre,Paltan Bazar,13 Seats available,22:15,03:45,05h 30m,3.7,https://www.redbus.in/bus-tickets/tezpur-to-guwahati?fromCityId=90883&toCityId=74701&fromCityName=Tezpur&toCityName=Guwahati&busType=Any&onward=31-Aug-2024
Himalayan Travels,NON A/C Seater (2+2),Tezpur,Guwahati,450,Mission Chariali,Paltan Bazar,21 Seats available,23:40,04:00,04h 20m,3.7,https://www.redbus.in/bus-tickets/tezpur-to-guwahati?fromCityId=90883&toCityId=74701&fromCityName=Tezpur&toCityName=Guwahati&busType=Any&onward=31-Aug-2024
BLUE HILL TRAVELS INDIA LIMITED,NON A/C Seater Semi Sleeper (2+1),Tezpur,Guwahati,400,Paruwa Chariali,Khanapara,8 Seats available,21:30,03:30,06h 00m,2.9,https://www.redbus.in/bus-tickets/tezpur-to-guwahati?fromCityId=90883&toCityId=74701&fromCityName=Tezpur&toCityName=Guwahati&busType=Any&onward=31-Aug-2024
Yatra Travels,NON AC Seater/ Sleeper (2+1),Guwahati,Tezpur,350,ISBT Guwahati,Dolabari By Pass,16 Seats available,20:00,00:00,04h 00m,4.0,https://www.redbus.in/bus-tickets/guwahati-to-tezpur?fromCityId=74701&toCityId=90883&fromCityName=Guwahati&toCityName=Tezpur&busType=Any&srcCountry=IND&destCountry=IND&onward=31-Aug-2024
Pranjit Travels (Under ASTC),A/C Seater / Sleeper (2+1),Guwahati,Tezpur,500,ISBT Guwahati,Dulabari centre,14 Seats available,20:45,02:30,05h 45m,3.3,https://www.redbus.in/bus-tickets/guwahati-to-tezpur?fromCityId=74701&toCityId=90883&fromCityName=Guwahati&toCityName=Tezpur&busType=Any&srcCountry=IND&destCountry=IND&onward=31-Aug-2024
Pranjit Travels (Under ASTC),Non AC Seater (2+1),Guwahati,Tezpur,450,ISBT Guwahati,Dulabari centre,23 Seats available,21:45,02:00,04h 15m,3.7,https://www.redbus.in/bus-tickets/guwahati-to-tezpur?fromCityId=74701&toCityId=90883&fromCityName=Guwahati&toCityName=Tezpur&busType=Any&srcCountry=IND&destCountry=IND&onward=31-Aug-2024
BLUE HILL TRAVELS INDIA LIMITED,NON A/C Seater Semi Sleeper (2+1),Guwahati,Tezpur,400,ISBT Guwahati,Dolabari Centre,15 Seats available,20:00,01:15,05h 15m,2.9,https://www.redbus.in/bus-tickets/guwahati-to-tezpur?fromCityId=74701&toCityId=90883&fromCityName=Guwahati&toCityName=Tezpur&busType=Any&srcCountry=IND&destCountry=IND&onward=31-Aug-2024
RAYAN TRAVELS,Non A/C Seater / Sleeper (2+1),Guwahati,Tezpur,550,ISBT Guwahati,Dulabari centre,33 Seats available,19:15,23:59,04h 44m,3.6,https://www.redbus.in/bus-tickets/guwahati-to-tezpur?fromCityId=74701&toCityId=90883&fromCityName=Guwahati&toCityName=Tezpur&busType=Any&srcCountry=IND&destCountry=IND&onward=31-Aug-2024
Yatra,Non AC Seater (2+2),Dhubri,Guwahati,350,Dhubri,Opposite ISBT GATE Near Overb...,39 Seats available,20:15,03:30,07h 15m,2.6,https://www.redbus.in/bus-tickets/dhubri-to-guwahati?fromCityId=197522&toCityId=74701&fromCityName=Dhubri&toCityName=Guwahati&busType=Any&srcCountry=IND&destCountry=IND&onward=31-Aug-2024
MAA MONOSHA TRAVELS,NON A/C Seater (2+1),Dhubri,Guwahati,350,Dhubri,ISBT Guwahati,37 Seats available,20:00,03:30,07h 30m,2.2,https://www.redbus.in/bus-tickets/dhubri-to-guwahati?fromCityId=197522&toCityId=74701&fromCityName=Dhubri&toCityName=Guwahati&busType=Any&srcCountry=IND&destCountry=IND&onward=31-Aug-2024
Aniruddha Travels,NON A/C Seater/ Sleeper (2+1),Tezpur,Dibrugarh,550,ASTC Bus Stand Tezpur,Dibrugarh,18 Seats available,19:30,04:00,08h 30m,3.7,https://www.redbus.in/bus-tickets/tezpur-to-dibrugarh?fromCityId=90883&toCityId=79598&fromCityName=Tezpur&toCityName=Dibrugarh&busType=Any&srcCountry=IND&destCountry=IND&onward=31-Aug-2024
Puja Transport,NON AC Seater / Sleeper 2+1,Tezpur,Dibrugarh,550,Tezpur,Dibrugarh,17 Seats available,20:00,04:30,08h 30m,3.5,https://www.redbus.in/bus-tickets/tezpur-to-dibrugarh?fromCityId=90883&toCityId=79598&fromCityName=Tezpur&toCityName=Dibrugarh&busType=Any&srcCountry=IND&destCountry=IND&onward=31-Aug-2024
SANJEEBANI TRAVELS,Non A/C Seater / Sleeper (2+1),Tezpur,Dibrugarh,500,Tezpur,Dibrugarh,22 Seats available,21:30,04:00,06h 30m,3.5,https://www.redbus.in/bus-tickets/tezpur-to-dibrugarh?fromCityId=90883&toCityId=79598&fromCityName=Tezpur&toCityName=Dibrugarh&busType=Any&srcCountry=IND&destCountry=IND&onward=31-Aug-2024
