Bus Name,Bus Type,From,To,Price,Starting Point,Ending Point,Seat Available,Start Time,Reach Time,Total Travel Time,Bus Rating,Links
V.I.P Travels,A/C Seater / Sleeper (2+2),Patna,Bettiah,350,Bus Stand,Betiah Bus Stand,61 Seats available,21:40,03:40,06h 00m,3.7,https://www.redbus.in/bus-tickets/patna-to-bettiah?fromCityId=74699&toCityId=82458&fromCityName=Patna&toCityName=Bettiah&busType=Any&onward=31-Aug-2024
Jai Hanuman Travels,A/C Seater / Sleeper (2+2),Patna,Bettiah,550,Gandhi Maidan bsrtc bus depo,Betiah Bus Stand,54 Seats available,22:20,05:00,06h 40m,3.6,https://www.redbus.in/bus-tickets/patna-to-bettiah?fromCityId=74699&toCityId=82458&fromCityName=Patna&toCityName=Bettiah&busType=Any&onward=31-Aug-2024
Jai Mata Di Tour and Travels,A/C Seater / Sleeper (2+2),Patna,Bettiah,450,Patna,Bettiah Bus Stand,6 Seats available,20:28,02:00,05h 32m,2.4,https://www.redbus.in/bus-tickets/patna-to-bettiah?fromCityId=74699&toCityId=82458&fromCityName=Patna&toCityName=Bettiah&busType=Any&onward=31-Aug-2024
Jai Mata Di Tour and Travels,A/C Seater / Sleeper (2+2),Patna,Bettiah,405,Patna new bairiya bus stand,Bettiah Bus Stand,24 Seats available,22:40,04:00,05h 20m,2.7,https://www.redbus.in/bus-tickets/patna-to-bettiah?fromCityId=74699&toCityId=82458&fromCityName=Patna&toCityName=Bettiah&busType=Any&onward=31-Aug-2024
,,Patna,Bettiah,,,,,,,,,https://www.redbus.in/bus-tickets/patna-to-bettiah?fromCityId=74699&toCityId=82458&fromCityName=Patna&toCityName=Bettiah&busType=Any&onward=31-Aug-2024
Bihar state road transport corporation (BSRTC) - 150571,Non AC Seater (2+2),Patna,Motihari,230,Gandhi Maidan,Govt. Bus Stand,33 Seats available,21:20,01:00,03h 40m,3.1,https://www.redbus.in/bus-tickets/patna-to-motihari?fromCityId=74699&toCityId=80302&fromCityName=Patna&toCityName=Motihari&busType=Any&srcCountry=IND&destCountry=IND&onward=31-Aug-2024
Jai Hanuman Travels,A/C Seater / Sleeper (2+2),Patna,Motihari,550,Gandhi Maidan bsrtc bus depo,motihari,53 Seats available,22:00,04:00,06h 00m,4.5,https://www.redbus.in/bus-tickets/patna-to-motihari?fromCityId=74699&toCityId=80302&fromCityName=Patna&toCityName=Motihari&busType=Any&srcCountry=IND&destCountry=IND&onward=31-Aug-2024
Jai Hanuman Travels,A/C Seater / Sleeper (2+2),Patna,Motihari,550,Gandhi Maidan bsrtc bus depo,motihari,54 Seats available,22:20,03:15,04h 55m,3.8,https://www.redbus.in/bus-tickets/patna-to-motihari?fromCityId=74699&toCityId=80302&fromCityName=Patna&toCityName=Motihari&busType=Any&srcCountry=IND&destCountry=IND&onward=31-Aug-2024
Jai Mata Di Tour and Travels,A/C Seater / Sleeper (2+2),Patna,Motihari,450,Patna,Motihari,6 Seats available,20:28,23:30,03h 02m,1.2,https://www.redbus.in/bus-tickets/patna-to-motihari?fromCityId=74699&toCityId=80302&fromCityName=Patna&toCityName=Motihari&busType=Any&srcCountry=IND&destCountry=IND&onward=31-Aug-2024
Sri Krishna Rath,,Patna,Motihari,1169,,,,21:00,00:00,03h 00m,1.7,https://www.redbus.in/bus-tickets/patna-to-motihari?fromCityId=74699&toCityId=80302&fromCityName=Patna&toCityName=Motihari&busType=Any&srcCountry=IND&destCountry=IND&onward=31-Aug-2024
