From,To,Links
Patna (Bihar),Bettiah,https://www.redbus.in/bus-tickets/patna-to-bettiah
Gopalganj (Bihar),Delhi,https://www.redbus.in/bus-tickets/gopalganj-to-delhi
Patna (Bihar),Motihari,https://www.redbus.in/bus-tickets/patna-to-motihari
Delhi,Motihari,https://www.redbus.in/bus-tickets/delhi-to-motihari
Bettiah,Patna (Bihar),https://www.redbus.in/bus-tickets/bettiah-to-patna
Motihari,Delhi,https://www.redbus.in/bus-tickets/motihari-to-delhi
Patna (Bihar),Balmiki Nagar (bihar),https://www.redbus.in/bus-tickets/patna-to-balmiki-nagar-bihar
Balmiki Nagar (bihar),Patna (Bihar),https://www.redbus.in/bus-tickets/balmiki-nagar-bihar-to-patna
Patna (Bihar),Kathmandu,https://www.redbus.in/bus-tickets/patna-to-kathmandu
Patna (Bihar),Katihar,https://www.redbus.in/bus-tickets/patna-to-katihar
Patna (Bihar),Purnea,https://www.redbus.in/bus-tickets/patna-to-purnea
Patna (Bihar),Hazaribagh,https://www.redbus.in/bus-tickets/patna-to-hazaribagh
Ranchi,Patna (Bihar),https://www.redbus.in/bus-tickets/ranchi-to-patna
Hazaribagh,Patna (Bihar),https://www.redbus.in/bus-tickets/hazaribagh-to-patna
Patna (Bihar),Raxaul,https://www.redbus.in/bus-tickets/patna-to-raxaul
Muzaffarpur (Bihar),Kathmandu,https://www.redbus.in/bus-tickets/muzaffarpur-to-kathmandu
Patna (Bihar),Ranchi,https://www.redbus.in/bus-tickets/patna-to-ranchi
Muzaffarpur (Bihar),Ranchi,https://www.redbus.in/bus-tickets/muzaffarpur-to-ranchi
Kathmandu,Patna (Bihar),https://www.redbus.in/bus-tickets/kathmandu-to-patna
Ranchi,Muzaffarpur (Bihar),https://www.redbus.in/bus-tickets/ranchi-to-muzaffarpur
Motihari,Lucknow,https://www.redbus.in/bus-tickets/motihari-to-lucknow
Lucknow,Motihari,https://www.redbus.in/bus-tickets/lucknow-to-motihari
Motihari,Kathmandu,https://www.redbus.in/bus-tickets/motihari-to-kathmandu
Agra,Motihari,https://www.redbus.in/bus-tickets/agra-to-motihari
Patna (Bihar),Janakpur (Nepal),https://www.redbus.in/bus-tickets/patna-to-janakpur-nepal
Muzaffarpur (Bihar),Hazaribagh,https://www.redbus.in/bus-tickets/muzaffarpur-to-hazaribagh
Purnea,Patna (Bihar),https://www.redbus.in/bus-tickets/purnea-to-patna
Patna (Bihar),Araria (Bihar),https://www.redbus.in/bus-tickets/patna-to-araria
Darbhanga,Patna (Bihar),https://www.redbus.in/bus-tickets/darbhanga-to-patna
Patna (Bihar),Saharsa,https://www.redbus.in/bus-tickets/patna-to-saharsa
Motihari,Agra,https://www.redbus.in/bus-tickets/motihari-to-agra
Hajipur (Bihar),Kathmandu,https://www.redbus.in/bus-tickets/hajipur-to-kathmandu
Kathmandu,Motihari,https://www.redbus.in/bus-tickets/kathmandu-to-motihari
Patna (Bihar),Forbesganj,https://www.redbus.in/bus-tickets/patna-to-forbesganj
Ranchi,Hajipur (Bihar),https://www.redbus.in/bus-tickets/ranchi-to-hajipur
Lucknow,Gopalganj (Bihar),https://www.redbus.in/bus-tickets/lucknow-to-gopalganj
