Bus_Name,Bus_Type,Start_From,Destination,Price,Starting_Point,Ending_Point,Seat_Available,Start_Time,Reach_Time,Total_Travel_Time,Bus_Rating,Links
APSRTC - 35085,DOLPHIN CRUISE (VOLVO / SCANIA A.C Multi Axle),Vijayawada,Hyderabad,720.0,Rtc bus stand,Kukatpally,40 Seats available,18:30,00:30,06:00,3.8,https://www.redbus.in/bus-tickets/vijayawada-to-hyderabad?fromCityId=134&toCityId=124&fromCityName=Vijayawada&toCityName=Hyderabad&busType=Any&onward=31-Aug-2024
APSRTC - 3613,"SUPER LUXURY (NON-AC, 2 + 2 PUSH BACK)",Vijayawada,Hyderabad,469.0,Auto Nagar,Kukatpally,30 Seats available,19:00,02:42,07:42,3.3,https://www.redbus.in/bus-tickets/vijayawada-to-hyderabad?fromCityId=134&toCityId=124&fromCityName=Vijayawada&toCityName=Hyderabad&busType=Any&onward=31-Aug-2024
APSRTC - 9316,"SUPER LUXURY (NON-AC, 2 + 2 PUSH BACK)",Vijayawada,Hyderabad,469.0,Auto Nagar,Kukatpally,25 Seats available,20:20,04:10,07:50,4.2,https://www.redbus.in/bus-tickets/vijayawada-to-hyderabad?fromCityId=134&toCityId=124&fromCityName=Vijayawada&toCityName=Hyderabad&busType=Any&onward=31-Aug-2024
APSRTC - 35189,DOLPHIN CRUISE (VOLVO / SCANIA A.C Multi Axle),Vijayawada,Hyderabad,670.0,Rtc bus stand,Hayathnagar,35 Seats available,20:30,01:05,04:35,3.9,https://www.redbus.in/bus-tickets/vijayawada-to-hyderabad?fromCityId=134&toCityId=124&fromCityName=Vijayawada&toCityName=Hyderabad&busType=Any&onward=31-Aug-2024
APSRTC - 9651,"SUPER LUXURY (NON-AC, 2 + 2 PUSH BACK)",Vijayawada,Hyderabad,469.0,Auto Nagar,Kukatpally,24 Seats available,21:00,04:41,07:41,4.6,https://www.redbus.in/bus-tickets/vijayawada-to-hyderabad?fromCityId=134&toCityId=124&fromCityName=Vijayawada&toCityName=Hyderabad&busType=Any&onward=31-Aug-2024
APSRTC - 4046,"SUPER LUXURY (NON-AC, 2 + 2 PUSH BACK)",Vijayawada,Hyderabad,469.0,Auto Nagar,Hayathnagar,25 Seats available,21:00,03:40,06:40,4.2,https://www.redbus.in/bus-tickets/vijayawada-to-hyderabad?fromCityId=134&toCityId=124&fromCityName=Vijayawada&toCityName=Hyderabad&busType=Any&onward=31-Aug-2024
APSRTC - 9654,"SUPER LUXURY (NON-AC, 2 + 2 PUSH BACK)",Vijayawada,Hyderabad,469.0,Auto Nagar,Kukatpally,19 Seats available,21:40,05:20,07:40,2.9,https://www.redbus.in/bus-tickets/vijayawada-to-hyderabad?fromCityId=134&toCityId=124&fromCityName=Vijayawada&toCityName=Hyderabad&busType=Any&onward=31-Aug-2024
APSRTC - 35179,VENNELA (A.C. SLEEPER),Vijayawada,Hyderabad,781.0,Rtc bus stand,Hayathnagar,17 Seats available,21:45,02:20,04:35,4.7,https://www.redbus.in/bus-tickets/vijayawada-to-hyderabad?fromCityId=134&toCityId=124&fromCityName=Vijayawada&toCityName=Hyderabad&busType=Any&onward=31-Aug-2024
APSRTC - 3916,"SUPER LUXURY (NON-AC, 2 + 2 PUSH BACK)",Vijayawada,Hyderabad,469.0,Rtc bus stand,Hayathnagar,25 Seats available,21:45,02:50,05:05,4.2,https://www.redbus.in/bus-tickets/vijayawada-to-hyderabad?fromCityId=134&toCityId=124&fromCityName=Vijayawada&toCityName=Hyderabad&busType=Any&onward=31-Aug-2024
APSRTC - 38201,"SUPER LUXURY (NON-AC, 2 + 2 PUSH BACK)",Vijayawada,Hyderabad,469.0,PORANKI,Hayathnagar,19 Seats available,21:52,04:00,06:08,4.4,https://www.redbus.in/bus-tickets/vijayawada-to-hyderabad?fromCityId=134&toCityId=124&fromCityName=Vijayawada&toCityName=Hyderabad&busType=Any&onward=31-Aug-2024
