Bus_Name,Bus_Type,From,To,Price,Starting_Point,Ending_Point,Seat_Available,Start_Time,Reach_Time,Total_Travel_Time,Bus_Rating,Links
APSRTC - 2561,INDRA(A.C. Seater),Hyderabad,Vijayawada,528.0,Central Bus Station (CBS,Rtc bus stand,22 Seats available,17:15,22:45,05h 30m,3.4,https://www.redbus.in/bus-tickets/hyderabad-to-vijayawada?fromCityId=124&toCityId=134&fromCityName=Hyderabad&toCityName=Vijayawada&busType=Any&onward=27-Aug-2024
APSRTC - 2674,"SUPER LUXURY (NON-AC, 2 + 2 PUSH BACK)",Hyderabad,Vijayawada,436.0,Jeedimetla,Rtc bus stand,17 Seats available,17:30,01:20,07h 50m,3.2,https://www.redbus.in/bus-tickets/hyderabad-to-vijayawada?fromCityId=124&toCityId=134&fromCityName=Hyderabad&toCityName=Vijayawada&busType=Any&onward=27-Aug-2024
APSRTC - 3366,"SUPER LUXURY (NON-AC, 2 + 2 PUSH BACK)",Hyderabad,Vijayawada,436.0,Kukatpally,Rtc bus stand,25 Seats available,17:55,01:45,07h 50m,2.4,https://www.redbus.in/bus-tickets/hyderabad-to-vijayawada?fromCityId=124&toCityId=134&fromCityName=Hyderabad&toCityName=Vijayawada&busType=Any&onward=27-Aug-2024
APSRTC - 3360,AMARAVATHI (VOLVO / SCANIA A.C Multi Axle),Hyderabad,Vijayawada,670.0,Kukatpally,Rtc bus stand,40 Seats available,18:25,01:30,07h 05m,2.6,https://www.redbus.in/bus-tickets/hyderabad-to-vijayawada?fromCityId=124&toCityId=134&fromCityName=Hyderabad&toCityName=Vijayawada&busType=Any&onward=27-Aug-2024
APSRTC - 2575,NIGHT RIDER (SEATER CUM SLEEPER),Hyderabad,Vijayawada,595.0,Kukatpally,Rtc bus stand,27 Seats available,18:55,01:15,06h 20m,3.8,https://www.redbus.in/bus-tickets/hyderabad-to-vijayawada?fromCityId=124&toCityId=134&fromCityName=Hyderabad&toCityName=Vijayawada&busType=Any&onward=27-Aug-2024
APSRTC - 4916,"SUPER LUXURY (NON-AC, 2 + 2 PUSH BACK)",Hyderabad,Vijayawada,436.0,Kukatpally,Rtc bus stand,17 Seats available,19:25,02:15,06h 50m,4.2,https://www.redbus.in/bus-tickets/hyderabad-to-vijayawada?fromCityId=124&toCityId=134&fromCityName=Hyderabad&toCityName=Vijayawada&busType=Any&onward=27-Aug-2024
APSRTC - 2563,INDRA(A.C. Seater),Hyderabad,Vijayawada,528.0,Central Bus Station (CBS),Rtc bus stand,38 Seats available,19:30,01:25,05h 55m,3.3,https://www.redbus.in/bus-tickets/hyderabad-to-vijayawada?fromCityId=124&toCityId=134&fromCityName=Hyderabad&toCityName=Vijayawada&busType=Any&onward=27-Aug-2024
APSRTC - 2680,VENNELA (A.C. SLEEPER),Hyderabad,Vijayawada,781.0,Kukatpally,Rtc bus stand,18 Seats available,19:45,02:00,06h 15m,3.8,https://www.redbus.in/bus-tickets/hyderabad-to-vijayawada?fromCityId=124&toCityId=134&fromCityName=Hyderabad&toCityName=Vijayawada&busType=Any&onward=27-Aug-2024
APSRTC - 2798,INDRA(A.C. Seater),Hyderabad,Vijayawada,528.0,Kukatpally,Rtc bus stand,31 Seats available,19:55,02:30,06h 35m,3.4,https://www.redbus.in/bus-tickets/hyderabad-to-vijayawada?fromCityId=124&toCityId=134&fromCityName=Hyderabad&toCityName=Vijayawada&busType=Any&onward=27-Aug-2024
APSRTC - 2688,"SUPER LUXURY (NON-AC, 2 + 2 PUSH BACK)",Hyderabad,Vijayawada,469.0,Ecil,Rtc bus stand,23 Seats available,20:00,02:45,06h 45m,4.2,https://www.redbus.in/bus-tickets/hyderabad-to-vijayawada?fromCityId=124&toCityId=134&fromCityName=Hyderabad&toCityName=Vijayawada&busType=Any&onward=27-Aug-2024
APSRTC - 3622,"SUPER LUXURY (NON-AC, 2 + 2 PUSH BACK)",Hyderabad,Vijayawada,412.0,Bhel,IBRAHIMPATNAM-VJA,26 Seats available,20:00,03:35,07h 35m,4.3,https://www.redbus.in/bus-tickets/hyderabad-to-vijayawada?fromCityId=124&toCityId=134&fromCityName=Hyderabad&toCityName=Vijayawada&busType=Any&onward=27-Aug-2024
APSRTC - 4972,"SUPER LUXURY (NON-AC, 2 + 2 PUSH BACK)",Hyderabad,Vijayawada,436.0,Kukatpally,Rtc bus stand,20 Seats available,20:10,03:20,07h 10m,3.7,https://www.redbus.in/bus-tickets/hyderabad-to-vijayawada?fromCityId=124&toCityId=134&fromCityName=Hyderabad&toCityName=Vijayawada&busType=Any&onward=27-Aug-2024
APSRTC - 2876,STAR LINER(NON-AC SLEEPER 2+1),Hyderabad,Vijayawada,565.0,Bhel,Rtc bus stand,27 Seats available,20:15,03:55,07h 40m,3.9,https://www.redbus.in/bus-tickets/hyderabad-to-vijayawada?fromCityId=124&toCityId=134&fromCityName=Hyderabad&toCityName=Vijayawada&busType=Any&onward=27-Aug-2024
