Bus Name,Bus Type,From,To,Price,Starting Point,Ending Point,Seat Available,Start Time,Reach Time,Total Travel Time,Bus Rating,Links
HRTC - 551,A/C Executive (2+3),Delhi,Shimla,622,ISBT Kashmiri Gate,Govt Bus Stand,42 Seats available,15:30,01:30,10h 00m,3.5,https://www.redbus.in/bus-tickets/delhi-to-shimla?fromCityId=733&toCityId=1285&fromCityName=Delhi&toCityName=Shimla&busType=Any&onward=31-Aug-2024
HRTC - 525,Ordinary 3+2 Non AC Seater,Delhi,Shimla,507,ISBT Kashmiri Gate,Govt Bus Stand,27 Seats available,16:50,03:00,10h 10m,4.2,https://www.redbus.in/bus-tickets/delhi-to-shimla?fromCityId=733&toCityId=1285&fromCityName=Delhi&toCityName=Shimla&busType=Any&onward=31-Aug-2024
HRTC - 532,Ordinary 3+2 Non AC Seater,Delhi,Shimla,507,ISBT Kashmiri Gate,Govt Bus Stand,27 Seats available,17:59,04:15,10h 16m,2.0,https://www.redbus.in/bus-tickets/delhi-to-shimla?fromCityId=733&toCityId=1285&fromCityName=Delhi&toCityName=Shimla&busType=Any&onward=31-Aug-2024
HRTC - 538,Ordinary 3+2 Non AC Seater,Delhi,Shimla,507,ISBT Kashmiri Gate,Govt Bus Stand,36 Seats available,18:31,05:30,10h 59m,4.6,https://www.redbus.in/bus-tickets/delhi-to-shimla?fromCityId=733&toCityId=1285&fromCityName=Delhi&toCityName=Shimla&busType=Any&onward=31-Aug-2024
HRTC - 93,Himsuta AC Seater Volvo/Scania 2+2,Delhi,Shimla,892,ISBT Kashmiri Gate,Govt Bus Stand,23 Seats available,19:35,04:45,09h 10m,3.4,https://www.redbus.in/bus-tickets/delhi-to-shimla?fromCityId=733&toCityId=1285&fromCityName=Delhi&toCityName=Shimla&busType=Any&onward=31-Aug-2024
HRTC - 301,Ordinary 3+2 Non AC Seater,Delhi,Shimla,507,ISBT Kashmiri Gate,Govt Bus Stand,27 Seats available,19:43,05:30,09h 47m,4.2,https://www.redbus.in/bus-tickets/delhi-to-shimla?fromCityId=733&toCityId=1285&fromCityName=Delhi&toCityName=Shimla&busType=Any&onward=31-Aug-2024
HRTC - 556,Ordinary 3+2 Non AC Seater,Delhi,Shimla,507,ISBT Kashmiri Gate,Govt Bus Stand,18 Seats available,20:10,05:45,09h 35m,4.5,https://www.redbus.in/bus-tickets/delhi-to-shimla?fromCityId=733&toCityId=1285&fromCityName=Delhi&toCityName=Shimla&busType=Any&onward=31-Aug-2024
HRTC - 591,A/C Executive (2+3),Delhi,Shimla,622,ISBT Kashmiri Gate,Govt Bus Stand,41 Seats available,21:00,07:20,10h 20m,4.2,https://www.redbus.in/bus-tickets/delhi-to-shimla?fromCityId=733&toCityId=1285&fromCityName=Delhi&toCityName=Shimla&busType=Any&onward=31-Aug-2024
HRTC - 8,Himsuta AC Seater Volvo/Scania 2+2,Delhi,Shimla,892,ISBT Kashmiri Gate,Govt Bus Stand,22 Seats available,21:02,06:30,09h 28m,4.5,https://www.redbus.in/bus-tickets/delhi-to-shimla?fromCityId=733&toCityId=1285&fromCityName=Delhi&toCityName=Shimla&busType=Any&onward=31-Aug-2024
HRTC - 570,Ordinary 3+2 Non AC Seater,Delhi,Shimla,507,ISBT Kashmiri Gate,Govt Bus Stand,37 Seats available,21:25,06:45,09h 20m,2.6,https://www.redbus.in/bus-tickets/delhi-to-shimla?fromCityId=733&toCityId=1285&fromCityName=Delhi&toCityName=Shimla&busType=Any&onward=31-Aug-2024
HRTC - 20,Himsuta AC Seater Volvo/Scania 2+2,Delhi,Shimla,867,ISBT Kashmiri Gate,Govt Bus Stand,20 Seats available,21:36,05:30,07h 54m,4.0,https://www.redbus.in/bus-tickets/delhi-to-shimla?fromCityId=733&toCityId=1285&fromCityName=Delhi&toCityName=Shimla&busType=Any&onward=31-Aug-2024
