Bus Name,Bus Type,From,To,Price,Starting Point,Ending Point,Seat Available,Start Time,Reach Time,Total Travel Time,Bus Rating,Links
New Pal Travels,NON A/C Seater / Sleeper (2+2),Jammu,Srinagar (J and K),799,BC Road Jammu,Srinagar,35 Seats available,21:15,07:15,10h 00m,1.7,https://www.redbus.in/bus-tickets/jammu-to-srinagar?fromCityId=734&toCityId=84913&fromCityName=Jammu&toCityName=Srinagar%20(J%20and%20K)&busType=Any&srcCountry=IND&destCountry=IND&onward=31-Aug-2024
North Kashmir Tour and Travels,NON A/C Sleeper (2+2),Jammu,Srinagar (J and K),699,Bc Road,Srinagar,40 Seats available,16:30,02:30,10h 00m,1.0,https://www.redbus.in/bus-tickets/jammu-to-srinagar?fromCityId=734&toCityId=84913&fromCityName=Jammu&toCityName=Srinagar%20(J%20and%20K)&busType=Any&srcCountry=IND&destCountry=IND&onward=31-Aug-2024
North Kashmir Tour and Travels,NON A/C Sleeper (2+2),Jammu,Srinagar (J and K),699,Bc Road,Srinagar,40 Seats available,17:15,03:15,10h 00m,1.0,https://www.redbus.in/bus-tickets/jammu-to-srinagar?fromCityId=734&toCityId=84913&fromCityName=Jammu&toCityName=Srinagar%20(J%20and%20K)&busType=Any&srcCountry=IND&destCountry=IND&onward=31-Aug-2024
Jamna Travels-Jammu,Non AC Seater (2+2),Srinagar (J and K),Jammu,649,Mitha Couh Office Batmallu Bu...,Jammu Bus Stand,30 Seats available,19:00,06:45,11h 45m,2.5,https://www.redbus.in/bus-tickets/srinagar-to-jammu?fromCityId=84913&toCityId=734&fromCityName=Srinagar%20(J%20and%20K)&toCityName=Jammu&busType=Any&srcCountry=IND&destCountry=IND&onward=31-Aug-2024
Laxmi holidays,Bharat Benz A/C Seater /Sleeper (2+1),Jammu,Haridwar,1824,Trikuta Shopping Complex,Shri Kashyap Samaj Ashram,3 Seats available,20:50,09:30,12h 40m,4.6,https://www.redbus.in/bus-tickets/jammu-to-haridwar?fromCityId=734&toCityId=802&fromCityName=Jammu&toCityName=Haridwar&busType=Any&srcCountry=IND&destCountry=IND&onward=31-Aug-2024
City Land Travels,A/C Seater/Sleeper (2+1),Jammu,Haridwar,979,Narwal bye paas,har ki Pauri,9 Seats available,18:00,06:20,12h 20m,2.4,https://www.redbus.in/bus-tickets/jammu-to-haridwar?fromCityId=734&toCityId=802&fromCityName=Jammu&toCityName=Haridwar&busType=Any&srcCountry=IND&destCountry=IND&onward=31-Aug-2024
City Land Travels,A/C Seater/Sleeper (2+1),Jammu,Haridwar,1339,BC Road Jammu,Har Ki Pouri,5 Seats available,20:30,09:00,12h 30m,3.6,https://www.redbus.in/bus-tickets/jammu-to-haridwar?fromCityId=734&toCityId=802&fromCityName=Jammu&toCityName=Haridwar&busType=Any&srcCountry=IND&destCountry=IND&onward=31-Aug-2024
Vijay Tour and Travels,Bharat Benz A/C Seater /Sleeper (2+1),Jammu,Haridwar,1388,Vijay sukrala travels narwal ...,Pantdeep parking har ki pauri...,1 Seat available,18:00,06:20,12h 20m,3.7,https://www.redbus.in/bus-tickets/jammu-to-haridwar?fromCityId=734&toCityId=802&fromCityName=Jammu&toCityName=Haridwar&busType=Any&srcCountry=IND&destCountry=IND&onward=31-Aug-2024
Gola Bus Service,A/C Seater/Sleeper (2+1),Jammu (j and k),Delhi,2000,TRIKUTA COMPLEX BC ROAD,Kashmiri Gate Metro station,36 Seats available,20:20,07:50,11h 30m,4.9,https://www.redbus.in/bus-tickets/jammu-to-delhi?fromCityId=734&toCityId=733&fromCityName=Jammu%20(j%20and%20k)&toCityName=Delhi&busType=Any&srcCountry=IND&destCountry=IND&onward=31-Aug-2024
IntrCity SmartBus,VE A/C Seater / Sleeper (2+1),Jammu (j and k),Delhi,471,Trikuta Complex,ISBT Kashmiri Gate,13 Seats available,20:00,07:45,11h 45m,4.5,https://www.redbus.in/bus-tickets/jammu-to-delhi?fromCityId=734&toCityId=733&fromCityName=Jammu%20(j%20and%20k)&toCityName=Delhi&busType=Any&srcCountry=IND&destCountry=IND&onward=31-Aug-2024
Laxmi holidays,Volvo 9600 Multi-Axle A/C Sleeper (2+1),Jammu (j and k),Delhi,950,Trikuta Shopping Complex,ISBT Kashmiri Gate,11 Seats available,20:15,08:00,11h 45m,4.4,https://www.redbus.in/bus-tickets/jammu-to-delhi?fromCityId=734&toCityId=733&fromCityName=Jammu%20(j%20and%20k)&toCityName=Delhi&busType=Any&srcCountry=IND&destCountry=IND&onward=31-Aug-2024
AdAshok Bus Service,VE A/C Seater / Sleeper (2+1),Jammu (j and k),Delhi,469,B C ROAD JAMMU,ISBT Kashmiri Gate,31 Seats available,20:30,08:30,12h 00m,4.7,https://www.redbus.in/bus-tickets/jammu-to-delhi?fromCityId=734&toCityId=733&fromCityName=Jammu%20(j%20and%20k)&toCityName=Delhi&busType=Any&srcCountry=IND&destCountry=IND&onward=31-Aug-2024
,,Jammu (j and k),Delhi,,,,,,,,,https://www.redbus.in/bus-tickets/jammu-to-delhi?fromCityId=734&toCityId=733&fromCityName=Jammu%20(j%20and%20k)&toCityName=Delhi&busType=Any&srcCountry=IND&destCountry=IND&onward=31-Aug-2024
Ram Dalal Holidays,Bharat Benz A/C Sleeper (2+1),Delhi,Jammu,550,ISBT Kashmiri Gate,jammu,2 Seats available,18:30,06:25,11h 55m,4.7,https://www.redbus.in/bus-tickets/delhi-to-jammu?fromCityId=733&toCityId=734&fromCityName=Delhi&toCityName=Jammu&busType=Any&onward=31-Aug-2024
IntrCity SmartBus,VE A/C Seater / Sleeper (2+1),Delhi,Jammu,624,RK Ashram,Kunjwani Bypass,8 Seats available,18:30,08:20,13h 50m,4.6,https://www.redbus.in/bus-tickets/delhi-to-jammu?fromCityId=733&toCityId=734&fromCityName=Delhi&toCityName=Jammu&busType=Any&onward=31-Aug-2024
Laxmi holidays,Volvo 9600 Multi-Axle A/C Sleeper (2+1),Delhi,Jammu,950,ISBT Kashmiri Gate,Kunjwani Bypass Jammu,23 Seats available,21:30,10:15,12h 45m,4.5,https://www.redbus.in/bus-tickets/delhi-to-jammu?fromCityId=733&toCityId=734&fromCityName=Delhi&toCityName=Jammu&busType=Any&onward=31-Aug-2024
AdLavish Travels,A/C Seater / Sleeper (2+2),Delhi,Jammu,569,Redfort,Jammu,42 Seats available,18:15,08:15,14h 00m,2.9,https://www.redbus.in/bus-tickets/delhi-to-jammu?fromCityId=733&toCityId=734&fromCityName=Delhi&toCityName=Jammu&busType=Any&onward=31-Aug-2024
