Bus Name,Bus Type,From,To,Price,Starting Point,Ending Point,Seat Available,Start Time,Reach Time,Total Travel Time,Bus Rating,Links
KSRTC (Kerala) - 51,Swift Deluxe Non AC Air Bus (2+2),Bangalore,Kozhikode,640,Satellite Bus Stand,"Ksrtc b s, mavoor rd",14 Seats available,19:04,04:24,09h 20m,4.4,https://www.redbus.in/bus-tickets/bangalore-to-kozhikode?fromCityId=122&toCityId=74661&fromCityName=Bangalore&toCityName=Kozhikode&busType=Any&onward=31-Aug-2024
KSRTC (Kerala) - 789,Super Fast Non AC Seater (2+3),Bangalore,Kozhikode,473,Satellite Bus Stand,"Ksrtc b s, mavoor rd",15 Seats available,20:00,04:25,08h 25m,3.6,https://www.redbus.in/bus-tickets/bangalore-to-kozhikode?fromCityId=122&toCityId=74661&fromCityName=Bangalore&toCityName=Kozhikode&busType=Any&onward=31-Aug-2024
KSRTC (Kerala) - 1585,Super Express Non AC Seater Air Bus (2+2),Bangalore,Kozhikode,640,Satellite Bus Stand,Kozhikode,27 Seats available,20:31,05:36,09h 05m,3.9,https://www.redbus.in/bus-tickets/bangalore-to-kozhikode?fromCityId=122&toCityId=74661&fromCityName=Bangalore&toCityName=Kozhikode&busType=Any&onward=31-Aug-2024
KSRTC (Kerala) - 1586,Super Express Non AC Seater Air Bus (2+2),Bangalore,Kozhikode,640,Satellite Bus Stand,Kozhikode,19 Seats available,21:31,06:36,09h 05m,3.4,https://www.redbus.in/bus-tickets/bangalore-to-kozhikode?fromCityId=122&toCityId=74661&fromCityName=Bangalore&toCityName=Kozhikode&busType=Any&onward=31-Aug-2024
KSRTC (Kerala) - 2133,Swift Deluxe Non AC Air Bus (2+2),Bangalore,Kozhikode,640,Satellite Bus Stand,Kozhikode,10 Seats available,22:12,07:36,09h 24m,4.3,https://www.redbus.in/bus-tickets/bangalore-to-kozhikode?fromCityId=122&toCityId=74661&fromCityName=Bangalore&toCityName=Kozhikode&busType=Any&onward=31-Aug-2024
KSRTC (Kerala) - 574,Super Express Non AC Seater Air Bus (2+2),Bangalore,Kozhikode,469,Satellite Bus Stand,Kozhikode,7 Seats available,23:00,09:30,10h 30m,3.3,https://www.redbus.in/bus-tickets/bangalore-to-kozhikode?fromCityId=122&toCityId=74661&fromCityName=Bangalore&toCityName=Kozhikode&busType=Any&onward=31-Aug-2024
KSRTC (Kerala) - 583,Super Express Non AC Seater Air Bus (2+2),Bangalore,Kozhikode,469,Satellite Bus Stand,Kozhikode,10 Seats available,23:30,09:35,10h 05m,3.4,https://www.redbus.in/bus-tickets/bangalore-to-kozhikode?fromCityId=122&toCityId=74661&fromCityName=Bangalore&toCityName=Kozhikode&busType=Any&onward=31-Aug-2024
KSRTC (Kerala) - 56,SWIFT-GARUDA A/C SEATER BUS,Bangalore,Kozhikode,627,Satellite Bus Stand,Kozhikode,5 Seats available,23:41,09:05,09h 24m,3.8,https://www.redbus.in/bus-tickets/bangalore-to-kozhikode?fromCityId=122&toCityId=74661&fromCityName=Bangalore&toCityName=Kozhikode&busType=Any&onward=31-Aug-2024
MMK Travels,VE A/C Seater / Sleeper (2+1),Bangalore,Kozhikode,700,Kalasipalyam,Calicut,19 Seats available,22:30,07:30,09h 00m,4.4,https://www.redbus.in/bus-tickets/bangalore-to-kozhikode?fromCityId=122&toCityId=74661&fromCityName=Bangalore&toCityName=Kozhikode&busType=Any&onward=31-Aug-2024
SAAM BUS,VE A/C Sleeper (2+1),Bangalore,Kozhikode,850,Dasarahalli,Mavoor,6 Seats available,20:10,06:45,10h 35m,4.4,https://www.redbus.in/bus-tickets/bangalore-to-kozhikode?fromCityId=122&toCityId=74661&fromCityName=Bangalore&toCityName=Kozhikode&busType=Any&onward=31-Aug-2024
