Bus Name,Bus Type,From,To,Price,Starting Point,Ending Point,Seat Available,Start Time,Reach Time,Total Travel Time,Bus Rating,Links
PEPSU (Punjab) - 67104,AC Seater Hvac 2+2,Patiala,Delhi,440,Counter no 23 New Bus stand P...,ISBT Kashmiri Gate,32 Seats available,22:30,03:31,05h 01m,2.9,https://www.redbus.in/bus-tickets/patiala-to-delhi?fromCityId=82742&toCityId=733&fromCityName=Patiala&toCityName=Delhi&busType=Any&onward=31-Aug-2024
PEPSU (Punjab) - 67103,AC Seater Hvac 2+2,Delhi,Patiala,440,ISBT Kashmiri Gate,Patiala,28 Seats available,22:31,04:00,05h 29m,3.2,https://www.redbus.in/bus-tickets/delhi-to-patiala?fromCityId=733&toCityId=82742&fromCityName=Delhi&toCityName=Patiala&busType=Any&onward=31-Aug-2024
Yolo Bus,VE A/C Seater / Sleeper (2+1),Ludhiana,Delhi,400,Sherpur Chowk,ISBT Kashmiri Gate,1 Seat available,22:27,05:00,06h 33m,4.6,https://www.redbus.in/bus-tickets/ludhiana-to-delhi?fromCityId=736&toCityId=733&fromCityName=Ludhiana&toCityName=Delhi&busType=Any&onward=31-Aug-2024
IntrCity SmartBus,AC Sleeper (2+1),Ludhiana,Delhi,512,Ludhiana Bypass,RK Ashram,5 Seats available,22:50,05:45,06h 55m,4.6,https://www.redbus.in/bus-tickets/ludhiana-to-delhi?fromCityId=736&toCityId=733&fromCityName=Ludhiana&toCityName=Delhi&busType=Any&onward=31-Aug-2024
IntrCity SmartBus,Bharat Benz A/C Seater /Sleeper (2+1),Ludhiana,Delhi,353,Ludhiana Bypass,ISBT Kashmiri Gate,5 Seats available,23:55,06:00,06h 05m,4.5,https://www.redbus.in/bus-tickets/ludhiana-to-delhi?fromCityId=736&toCityId=733&fromCityName=Ludhiana&toCityName=Delhi&busType=Any&onward=31-Aug-2024
Laxmi holidays,VE A/C Sleeper (2+1),Ludhiana,Delhi,570,Ludhiana Bypass,ISBT Kashmiri Gate,21 Seats available,23:55,06:45,06h 50m,4.5,https://www.redbus.in/bus-tickets/ludhiana-to-delhi?fromCityId=736&toCityId=733&fromCityName=Ludhiana&toCityName=Delhi&busType=Any&onward=31-Aug-2024
,,Ludhiana,Delhi,,,,,,,,,https://www.redbus.in/bus-tickets/ludhiana-to-delhi?fromCityId=736&toCityId=733&fromCityName=Ludhiana&toCityName=Delhi&busType=Any&onward=31-Aug-2024
PEPSU (Punjab) - 67121,Volvo AC Seater (2+2),Delhi (All Locat...,Ludhiana,845,Karnal by pass delhi,Bus Stand,38 Seats available,21:50,04:50,07h 00m,4.0,https://www.redbus.in/bus-tickets/delhi-to-ludhiana?fromCityId=733&toCityId=736&fromCityName=Delhi%20(All%20Locations)&toCityName=Ludhiana&busType=Any&srcCountry=IND&destCountry=IND&onward=31-Aug-2024
RSRTC - 156675,Express Non AC Seater 2+3,Delhi (All Locat...,Ludhiana,391,DELHI,LUDHIYANA,37 Seats available,22:30,05:15,06h 45m,2.2,https://www.redbus.in/bus-tickets/delhi-to-ludhiana?fromCityId=733&toCityId=736&fromCityName=Delhi%20(All%20Locations)&toCityName=Ludhiana&busType=Any&srcCountry=IND&destCountry=IND&onward=31-Aug-2024
Laxmi holidays,Bharat Benz A/C Sleeper (2+1),Delhi (All Locat...,Ludhiana,570,ISBT Kashmiri Gate,Ludhiana Bypass,11 Seats available,23:40,06:40,07h 00m,4.4,https://www.redbus.in/bus-tickets/delhi-to-ludhiana?fromCityId=733&toCityId=736&fromCityName=Delhi%20(All%20Locations)&toCityName=Ludhiana&busType=Any&srcCountry=IND&destCountry=IND&onward=31-Aug-2024
