Bus Name,Bus Type,From,To,Price,Starting Point,Ending Point,Seat Available,Start Time,Reach Time,Total Travel Time,Bus Rating,Links
Greenline (Karunamoyee),Volvo A/C Seater (2+2),Burdwan,Kolkata,429,Nababhat,Karunamoyee,14 Seats available,18:30,21:20,02h 50m,3.1,https://www.redbus.in/bus-tickets/burdwan-to-kolkata?fromCityId=74678&toCityId=74820&fromCityName=Burdwan&toCityName=Kolkata&busType=Any&onward=31-Aug-2024
Fast Track Tours And Travels,A/C Seater / Sleeper (2+2),Burdwan,Kolkata,5000,Burdwan,Kolkata,58 Seats available,20:00,04:00,08h 00m,2.5,https://www.redbus.in/bus-tickets/burdwan-to-kolkata?fromCityId=74678&toCityId=74820&fromCityName=Burdwan&toCityName=Kolkata&busType=Any&onward=31-Aug-2024
SBSTC-KOLKATA - BURDWAN - A/C - 18:45 (BWN DEPOT) - 97,AC Seater (2+2),Kolkata,Burdwan,180,Esplanade,Bus Stand,25 Seats available,18:45,20:45,02h 00m,3.3,https://www.redbus.in/bus-tickets/kolkata-to-burdwan?fromCityId=74820&toCityId=74678&fromCityName=Kolkata&toCityName=Burdwan&busType=Any&onward=31-Aug-2024
SBSTC-KARUNAMOYEE - BURDWAN - A/C - 18:45 (BWN DEPOT) - 1674,AC Seater (2+2),Kolkata,Burdwan,200,Karunamoyee,Bus Stand,12 Seats available,18:45,20:45,02h 00m,3.0,https://www.redbus.in/bus-tickets/kolkata-to-burdwan?fromCityId=74820&toCityId=74678&fromCityName=Kolkata&toCityName=Burdwan&busType=Any&onward=31-Aug-2024
SBSTC-KOLKATA - BURDWAN - 19:00 (BWN DEPOT) - 99,Non AC Seater (2+3),Kolkata,Burdwan,95,Esplanade,Bus Stand,52 Seats available,19:00,21:00,02h 00m,3.5,https://www.redbus.in/bus-tickets/kolkata-to-burdwan?fromCityId=74820&toCityId=74678&fromCityName=Kolkata&toCityName=Burdwan&busType=Any&onward=31-Aug-2024
SBSTC-KARUNAMOYEE - BURDWAN - 19:30 (BWN DEPOT) - 120,Non AC Seater (2+3),Kolkata,Burdwan,100,Karunamoyee,Bus Stand,40 Seats available,19:30,21:30,02h 00m,4.0,https://www.redbus.in/bus-tickets/kolkata-to-burdwan?fromCityId=74820&toCityId=74678&fromCityName=Kolkata&toCityName=Burdwan&busType=Any&onward=31-Aug-2024
SBSTC-KOLKATA - BURDWAN - 20:00 (BWN DEPOT) - 103,Non AC Seater (2+3),Kolkata,Burdwan,95,Esplanade,Bus Stand,46 Seats available,20:00,22:00,02h 00m,3.5,https://www.redbus.in/bus-tickets/kolkata-to-burdwan?fromCityId=74820&toCityId=74678&fromCityName=Kolkata&toCityName=Burdwan&busType=Any&onward=31-Aug-2024
SHYAMOLI Pvt. Ltd.(Karunamoyee),Volvo A/C Seater (2+2),Kolkata,Burdwan,429,Dunlop,Ullash,27 Seats available,18:10,20:00,01h 50m,4.4,https://www.redbus.in/bus-tickets/kolkata-to-burdwan?fromCityId=74820&toCityId=74678&fromCityName=Kolkata&toCityName=Burdwan&busType=Any&onward=31-Aug-2024
Greenline,Volvo A/C Seater (2+2),Kolkata,Burdwan,429,Santragachi,Nababhat,25 Seats available,18:20,20:45,02h 25m,4.8,https://www.redbus.in/bus-tickets/kolkata-to-burdwan?fromCityId=74820&toCityId=74678&fromCityName=Kolkata&toCityName=Burdwan&busType=Any&onward=31-Aug-2024
Shyamoli Paribahan Pvt Ltd,Volvo A/C Seater (2+2),Kolkata,Burdwan,429,Esplanade,Ullash,30 Seats available,18:40,20:40,02h 00m,4.8,https://www.redbus.in/bus-tickets/kolkata-to-burdwan?fromCityId=74820&toCityId=74678&fromCityName=Kolkata&toCityName=Burdwan&busType=Any&onward=31-Aug-2024
