Bus Name,Bus Type,From,To,Price,Starting Point,Ending Point,Seat Available,Start Time,Reach Time,Total Travel Time,Bus Rating,Links
TSRTC - 64089,RAJDHANI (A.C. Semi Sleeper),Khammam,Hyderabad,389,KHAMMAM BS,Central Bus Station (CBS),35 Seats available,18:00,22:00,04h 00m,3.4,https://www.redbus.in/bus-tickets/khammam-to-hyderabad?fromCityId=401&toCityId=124&fromCityName=Khammam&toCityName=Hyderabad&busType=Any&srcCountry=IND&destCountry=IND&onward=31-Aug-2024
TSRTC - 1952,LAHARI A/C SLEEPER CUM SEATER,Khammam,Hyderabad,389,KHAMMAM BS,Central Bus Station (CBS),26 Seats available,18:10,21:45,03h 35m,3.2,https://www.redbus.in/bus-tickets/khammam-to-hyderabad?fromCityId=401&toCityId=124&fromCityName=Khammam&toCityName=Hyderabad&busType=Any&srcCountry=IND&destCountry=IND&onward=31-Aug-2024
TSRTC - 4172,RAJADHANI AC (CONVERTED METRO LUXURY),Khammam,Hyderabad,389,KHAMMAM BS,Central Bus Station (CBS),30 Seats available,18:30,22:30,04h 00m,3.7,https://www.redbus.in/bus-tickets/khammam-to-hyderabad?fromCityId=401&toCityId=124&fromCityName=Khammam&toCityName=Hyderabad&busType=Any&srcCountry=IND&destCountry=IND&onward=31-Aug-2024
TSRTC - 8677,"SUPER LUXURY (NON-AC, 2 + 2 PUSH BACK)",Khammam,Hyderabad,320,KHAMMAM BS,Central Bus Station (CBS),25 Seats available,19:30,23:40,04h 10m,3.9,https://www.redbus.in/bus-tickets/khammam-to-hyderabad?fromCityId=401&toCityId=124&fromCityName=Khammam&toCityName=Hyderabad&busType=Any&srcCountry=IND&destCountry=IND&onward=31-Aug-2024
TSRTC - 64022,RAJADHANI AC (CONVERTED METRO LUXURY),Khammam,Hyderabad,389,KHAMMAM BS,Kukatpally,32 Seats available,19:30,00:15,04h 45m,2.9,https://www.redbus.in/bus-tickets/khammam-to-hyderabad?fromCityId=401&toCityId=124&fromCityName=Khammam&toCityName=Hyderabad&busType=Any&srcCountry=IND&destCountry=IND&onward=31-Aug-2024
TSRTC - 8625,RAJDHANI (A.C. Semi Sleeper),Khammam,Hyderabad,389,KHAMMAM BS,Central Bus Station (CBS),31 Seats available,21:00,01:00,04h 00m,3.3,https://www.redbus.in/bus-tickets/khammam-to-hyderabad?fromCityId=401&toCityId=124&fromCityName=Khammam&toCityName=Hyderabad&busType=Any&srcCountry=IND&destCountry=IND&onward=31-Aug-2024
TSRTC - 8619,RAJADHANI AC (CONVERTED METRO LUXURY),Khammam,Hyderabad,389,KHAMMAM BS,Central Bus Station (CBS),34 Seats available,22:00,02:00,04h 00m,3.8,https://www.redbus.in/bus-tickets/khammam-to-hyderabad?fromCityId=401&toCityId=124&fromCityName=Khammam&toCityName=Hyderabad&busType=Any&srcCountry=IND&destCountry=IND&onward=31-Aug-2024
TSRTC - 64593,"SUPER LUXURY (NON-AC, 2 + 2 PUSH BACK)",Khammam,Hyderabad,320,KHAMMAM BS,LB Nagar,7 Seats available,22:30,02:25,03h 55m,4.0,https://www.redbus.in/bus-tickets/khammam-to-hyderabad?fromCityId=401&toCityId=124&fromCityName=Khammam&toCityName=Hyderabad&busType=Any&srcCountry=IND&destCountry=IND&onward=31-Aug-2024
TSRTC - 8827,"SUPER LUXURY (NON-AC, 2 + 2 PUSH BACK)",Khammam,Hyderabad,320,KHAMMAM BS,Central Bus Station (CBS),29 Seats available,22:55,03:20,04h 25m,4.5,https://www.redbus.in/bus-tickets/khammam-to-hyderabad?fromCityId=401&toCityId=124&fromCityName=Khammam&toCityName=Hyderabad&busType=Any&srcCountry=IND&destCountry=IND&onward=31-Aug-2024
TSRTC - 4166,RAJADHANI AC (CONVERTED METRO LUXURY),Khammam,Hyderabad,389,KHAMMAM BS,Central Bus Station (CBS),33 Seats available,23:00,05:20,06h 20m,3.5,https://www.redbus.in/bus-tickets/khammam-to-hyderabad?fromCityId=401&toCityId=124&fromCityName=Khammam&toCityName=Hyderabad&busType=Any&srcCountry=IND&destCountry=IND&onward=31-Aug-2024
TSRTC - 8644,"SUPER LUXURY (NON-AC, 2 + 2 PUSH BACK)",Khammam,Hyderabad,320,KHAMMAM BS,Central Bus Station (CBS),29 Seats available,23:10,03:20,04h 10m,3.9,https://www.redbus.in/bus-tickets/khammam-to-hyderabad?fromCityId=401&toCityId=124&fromCityName=Khammam&toCityName=Hyderabad&busType=Any&srcCountry=IND&destCountry=IND&onward=31-Aug-2024
TSRTC - 8992,"SUPER LUXURY (NON-AC, 2 + 2 PUSH BACK)",Khammam,Hyderabad,320,KHAMMAM BS,LB Nagar,17 Seats available,23:25,03:20,03h 55m,4.0,https://www.redbus.in/bus-tickets/khammam-to-hyderabad?fromCityId=401&toCityId=124&fromCityName=Khammam&toCityName=Hyderabad&busType=Any&srcCountry=IND&destCountry=IND&onward=31-Aug-2024
TSRTC - 64008,RAJADHANI AC (CONVERTED METRO LUXURY),Khammam,Hyderabad,389,KHAMMAM BS,Central Bus Station (CBS),31 Seats available,23:30,03:30,04h 00m,4.0,https://www.redbus.in/bus-tickets/khammam-to-hyderabad?fromCityId=401&toCityId=124&fromCityName=Khammam&toCityName=Hyderabad&busType=Any&srcCountry=IND&destCountry=IND&onward=31-Aug-2024
TSRTC - 8805,RAJDHANI (A.C. Semi Sleeper),Khammam,Hyderabad,389,KHAMMAM BS,Central Bus Station (CBS),21 Seats available,23:45,03:30,03h 45m,3.3,https://www.redbus.in/bus-tickets/khammam-to-hyderabad?fromCityId=401&toCityId=124&fromCityName=Khammam&toCityName=Hyderabad&busType=Any&srcCountry=IND&destCountry=IND&onward=31-Aug-2024
TSRTC - 1323,LAHARI A/C SLEEPER CUM SEATER,Khammam,Hyderabad,389,KHAMMAM BS,Central Bus Station (CBS),37 Seats available,23:55,03:30,03h 35m,3.2,https://www.redbus.in/bus-tickets/khammam-to-hyderabad?fromCityId=401&toCityId=124&fromCityName=Khammam&toCityName=Hyderabad&busType=Any&srcCountry=IND&destCountry=IND&onward=31-Aug-2024
TSRTC - 8600,"SUPER LUXURY (NON-AC, 2 + 2 PUSH BACK)",Khammam,Hyderabad,320,KHAMMAM BS,Central Bus Station (CBS),30 Seats available,23:55,05:20,05h 25m,4.7,https://www.redbus.in/bus-tickets/khammam-to-hyderabad?fromCityId=401&toCityId=124&fromCityName=Khammam&toCityName=Hyderabad&busType=Any&srcCountry=IND&destCountry=IND&onward=31-Aug-2024
TSRTC - 7646,"SUPER LUXURY (NON-AC, 2 + 2 PUSH BACK)",Khammam,Hyderabad,320,KHAMMAM BS,Hayathnagar,17 Seats available,23:55,04:00,04h 05m,4.5,https://www.redbus.in/bus-tickets/khammam-to-hyderabad?fromCityId=401&toCityId=124&fromCityName=Khammam&toCityName=Hyderabad&busType=Any&srcCountry=IND&destCountry=IND&onward=31-Aug-2024
Sri KVR Travels,Non A/C Seater / Sleeper (2+1),Khammam,Hyderabad,700,KHAMAM,SR Nagar,7 Seats available,23:40,05:00,05h 20m,3.4,https://www.redbus.in/bus-tickets/khammam-to-hyderabad?fromCityId=401&toCityId=124&fromCityName=Khammam&toCityName=Hyderabad&busType=Any&srcCountry=IND&destCountry=IND&onward=31-Aug-2024
BSR Tours And Travels,NON A/C Seater (2+2),Khammam,Hyderabad,400,Khammam,Erragadda,14 Seats available,23:40,06:00,06h 20m,4.2,https://www.redbus.in/bus-tickets/khammam-to-hyderabad?fromCityId=401&toCityId=124&fromCityName=Khammam&toCityName=Hyderabad&busType=Any&srcCountry=IND&destCountry=IND&onward=31-Aug-2024
Sri Venkateswara Travels,Non A/C Seater / Sleeper (2+1),Khammam,Hyderabad,400,Khammam,Lingampalli B H E L,15 Seats available,23:45,06:00,06h 15m,3.8,https://www.redbus.in/bus-tickets/khammam-to-hyderabad?fromCityId=401&toCityId=124&fromCityName=Khammam&toCityName=Hyderabad&busType=Any&srcCountry=IND&destCountry=IND&onward=31-Aug-2024
Sri KVR Travels,A/C Sleeper (2+1),Khammam,Hyderabad,680,KHAMAM,Vanasthalipuram,12 Seats available,23:58,05:00,05h 02m,3.2,https://www.redbus.in/bus-tickets/khammam-to-hyderabad?fromCityId=401&toCityId=124&fromCityName=Khammam&toCityName=Hyderabad&busType=Any&srcCountry=IND&destCountry=IND&onward=31-Aug-2024
SAIRAJ TRAVELS,NON A/C Seater (2+2),Khammam,Hyderabad,500,Near Kinnera Hospital,Beeramguda,25 Seats available,23:59,06:15,06h 16m,3.5,https://www.redbus.in/bus-tickets/khammam-to-hyderabad?fromCityId=401&toCityId=124&fromCityName=Khammam&toCityName=Hyderabad&busType=Any&srcCountry=IND&destCountry=IND&onward=31-Aug-2024
BSR Tours And Travels,A/C Sleeper (2+1),Khammam,Hyderabad,780,Khammam,Erragadda,9 Seats available,23:59,06:00,06h 01m,4.2,https://www.redbus.in/bus-tickets/khammam-to-hyderabad?fromCityId=401&toCityId=124&fromCityName=Khammam&toCityName=Hyderabad&busType=Any&srcCountry=IND&destCountry=IND&onward=31-Aug-2024
SAIRAJ TRAVELS,A/C Seater / Sleeper (2+1),Khammam,Hyderabad,560,Near Kinnera Hospital,Nizampet,10 Seats available,23:59,05:30,05h 31m,5.0,https://www.redbus.in/bus-tickets/khammam-to-hyderabad?fromCityId=401&toCityId=124&fromCityName=Khammam&toCityName=Hyderabad&busType=Any&srcCountry=IND&destCountry=IND&onward=31-Aug-2024
Sri Krishna Travels(VGN),Non A/C Seater / Sleeper (2+1),Khammam,Hyderabad,500,Khammam,Miyapur,19 Seats available,23:59,06:10,06h 11m,3.1,https://www.redbus.in/bus-tickets/khammam-to-hyderabad?fromCityId=401&toCityId=124&fromCityName=Khammam&toCityName=Hyderabad&busType=Any&srcCountry=IND&destCountry=IND&onward=31-Aug-2024
BSR Tours And Travels,A/C Seater / Sleeper (2+1),Khammam,Hyderabad,580,Khammam,Erragadda,23 Seats available,23:59,06:00,06h 01m,4.6,https://www.redbus.in/bus-tickets/khammam-to-hyderabad?fromCityId=401&toCityId=124&fromCityName=Khammam&toCityName=Hyderabad&busType=Any&srcCountry=IND&destCountry=IND&onward=31-Aug-2024
Bharathi Tours & Travels,A/C Sleeper (2+1),Khammam,Hyderabad,780,Khammam,Nizampet,17 Seats available,23:59,05:00,05h 01m,3.8,https://www.redbus.in/bus-tickets/khammam-to-hyderabad?fromCityId=401&toCityId=124&fromCityName=Khammam&toCityName=Hyderabad&busType=Any&srcCountry=IND&destCountry=IND&onward=31-Aug-2024
